Date,PX_LAST
9/30/2020,17
8/31/2020,3.7
7/31/2020,17.2
6/30/2020,-0.2
5/31/2020,-48.5
4/30/2020,-78.2
3/31/2020,-21.5
2/29/2020,12.9
1/31/2020,4.8
12/31/2019,3.3
11/30/2019,2.5
10/31/2019,3.3
9/30/2019,2.2
8/31/2019,4.2
7/31/2019,4.2
6/30/2019,-6.4
5/31/2019,14.4
4/30/2019,9.4
3/31/2019,5.1
2/28/2019,10.3
1/31/2019,4.8
12/31/2018,11.1
11/30/2018,21.1
10/31/2018,19.4
9/30/2018,19
8/31/2018,24.1
7/31/2018,21.6
6/30/2018,25.8
5/31/2018,17
4/30/2018,17.4
3/31/2018,23.5
2/28/2018,17.5
1/31/2018,19.4
12/31/2017,20.1
11/30/2017,19.1
10/31/2017,26.6
9/30/2017,23.6
8/31/2017,22.7
7/31/2017,11.8
6/30/2017,18.8
5/31/2017,0.7
4/30/2017,6.2
3/31/2017,15.6
2/28/2017,20.1
1/31/2017,7.5
12/31/2016,9.6
11/30/2016,1.9
10/31/2016,-9.5
9/30/2016,-1.6
8/31/2016,-5.6
7/31/2016,1.4
6/30/2016,3.1
5/31/2016,-7.4
4/30/2016,8.9
3/31/2016,-2.5
2/29/2016,-12.9
1/31/2016,-16.6
12/31/2015,-5.9
11/30/2015,-9.7
10/31/2015,-13.7
9/30/2015,-12.7
8/31/2015,-13.9
7/31/2015,1.7
6/30/2015,-4.8
5/31/2015,3.9
4/30/2015,0.1
3/31/2015,3.7
2/28/2015,10.6
1/31/2015,12.5
12/31/2014,-2.5
11/30/2014,12
10/31/2014,6.2
9/30/2014,29.4
8/31/2014,16.1
7/31/2014,21
6/30/2014,15.8
5/31/2014,17.5
4/30/2014,4.1
3/31/2014,2.8
2/28/2014,6.8
1/31/2014,12.8
12/31/2013,3.2
11/30/2013,2.2
10/31/2013,3.6
9/30/2013,7.7
8/31/2013,9.7
7/31/2013,5.2
6/30/2013,4.5
5/31/2013,-1.1
4/30/2013,4.5
3/31/2013,4.9
2/28/2013,9.2
1/31/2013,-7.5
12/31/2012,-5.8
11/30/2012,-0.8
10/31/2012,-4.6
9/30/2012,-6.9
8/31/2012,-2.7
7/31/2012,3.2
6/30/2012,1.6
5/31/2012,14.2
4/30/2012,7.8
3/31/2012,15.5
2/29/2012,17.5
1/31/2012,11.5
12/31/2011,11.7
11/30/2011,4.9
10/31/2011,-5.7
9/30/2011,-4.3
8/31/2011,-3.9
7/31/2011,-6
6/30/2011,-5.3
5/31/2011,10.1
4/30/2011,19.1
3/31/2011,12.4
2/28/2011,12.1
1/31/2011,9.6
12/31/2010,11.9
11/30/2010,-7.4
10/31/2010,15.2
9/30/2010,9.9
8/31/2010,10
7/31/2010,5.3
6/30/2010,19.8
5/31/2010,18
4/30/2010,27.4
3/31/2010,19.8
2/28/2010,21.5
1/31/2010,15.1
12/31/2009,5.2
11/30/2009,25.8
10/31/2009,33
9/30/2009,21
8/31/2009,12.7
7/31/2009,0
6/30/2009,-9.7
5/31/2009,-6
4/30/2009,-19.3
3/31/2009,-33.7
2/28/2009,-34.3
1/31/2009,-26.5
12/31/2008,-25.4
11/30/2008,-22.6
10/31/2008,-25.9
9/30/2008,-8.1
8/31/2008,-0.9
7/31/2008,-5.2
6/30/2008,-8.2
5/31/2008,-3.9
4/30/2008,-3.1
3/31/2008,-14.7
2/29/2008,-7.3
1/31/2008,7.2
12/31/2007,8.6
11/30/2007,25.9
10/31/2007,25.7
9/30/2007,14.7
8/31/2007,22.8
7/31/2007,26.2
6/30/2007,24.3
5/31/2007,10
4/30/2007,3.9
3/31/2007,13.3
2/28/2007,24.5
1/31/2007,7.4
12/31/2006,20.1
11/30/2006,22.9
10/31/2006,18.7
9/30/2006,14.9
8/31/2006,11.7
7/31/2006,16.6
6/30/2006,26.5
5/31/2006,18.6
4/30/2006,18.5
3/31/2006,33.2
2/28/2006,20.9
1/31/2006,17.5
12/31/2005,22.9
11/30/2005,18
10/31/2005,12.1
9/30/2005,16.9
8/31/2005,23.7
7/31/2005,23.8
6/30/2005,7.8
5/31/2005,-4.9
4/30/2005,8.3
3/31/2005,24.3
2/28/2005,17.1
1/31/2005,15.6
