INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
211362505,03/21/2020,23:57:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,998138,193910,40.698912245000031,-73.949915843999975,POINT (-73.94991584399997 40.69891224500003)
211671833,04/01/2020,21:40:00,BRONX,44,0,,true,45-64,M,WHITE HISPANIC,45-64,M,BLACK,1008846,245939,40.841694933000042,-73.911108192999961,POINT (-73.91110819299996 40.84169493300004)
214690556,06/26/2020,00:30:00,MANHATTAN,13,0,,true,25-44,M,BLACK,18-24,M,WHITE HISPANIC,987583,210248,40.74376638800004,-73.987973245999967,POINT (-73.98797324599997 40.74376638800004)
214694696,06/27/2020,23:45:00,BRONX,44,0,,false,,,,25-44,M,BLACK,1007952,241445,40.829362650000064,-73.914355106999949,POINT (-73.91435510699995 40.829362650000064)
213724267,05/31/2020,18:49:00,QUEENS,105,0,,false,,,,18-24,M,BLACK,1050349,182034,40.666079489000026,-73.761739458999955,POINT (-73.76173945899995 40.666079489000026)
213187661,05/17/2020,03:09:00,BROOKLYN,67,0,,false,,,,25-44,M,BLACK,997741,177573,40.654071479000038,-73.951380282999935,POINT (-73.95138028299993 40.65407147900004)
213724261,05/31/2020,00:14:00,BROOKLYN,67,0,PVT HOUSE,false,,,,18-24,M,BLACK,997366,172348,40.639730546000067,-73.952741929999945,POINT (-73.95274192999995 40.63973054600007)
214778538,06/30/2020,21:00:00,BROOKLYN,73,0,MULTI DWELL - APT BUILD,false,,,,25-44,M,BLACK,1008676,178766,40.65732259300006,-73.911966569999947,POINT (-73.91196656999995 40.65732259300006)
210721533,03/09/2020,09:15:00,BROOKLYN,75,0,,true,45-64,M,BLACK,25-44,F,BLACK,1017081,174596,40.64584968500003,-73.881694050999954,POINT (-73.88169405099995 40.64584968500003)
214690556,06/26/2020,00:30:00,MANHATTAN,13,0,,false,25-44,M,BLACK,18-24,M,WHITE HISPANIC,987583,210248,40.74376638800004,-73.987973245999967,POINT (-73.98797324599997 40.74376638800004)
214431183,06/20/2020,04:55:00,BRONX,48,0,MULTI DWELL - APT BUILD,false,,,,18-24,F,BLACK,1015742,247472,40.845880666000028,-73.886177944999986,POINT (-73.88617794499999 40.84588066600003)
214562241,06/24/2020,03:25:00,QUEENS,113,0,GROCERY/BODEGA,false,25-44,M,BLACK,25-44,M,BLACK,1044671,188114,40.682808242000078,-73.782151917999954,POINT (-73.78215191799995 40.68280824200008)
210757630,03/09/2020,21:53:00,BRONX,42,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,1009945,244103,40.83665251900004,-73.907143294999969,POINT (-73.90714329499997 40.83665251900004)
208008880,01/14/2020,16:57:00,QUEENS,102,0,,false,,,,25-44,M,BLACK,1025457,192749,40.695640535000052,-73.851399993999962,POINT (-73.85139999399996 40.69564053500005)
206931578,01/05/2020,02:20:00,MANHATTAN,34,0,,false,,,,18-24,M,BLACK,1006165,253314,40.861944175000076,-73.920773575999988,POINT (-73.92077357599999 40.861944175000076)
211066099,03/15/2020,12:54:00,BRONX,42,0,,false,25-44,M,BLACK,25-44,M,BLACK,1009516,239520,40.824074740000071,-73.908710900999949,POINT (-73.90871090099995 40.82407474000007)
214312113,06/17/2020,19:35:00,BROOKLYN,75,0,,false,,,,25-44,M,BLACK,1012586,185459,40.675681731000054,-73.897846239999978,POINT (-73.89784623999998 40.675681731000054)
212640102,05/02/2020,15:18:00,BRONX,49,0,,true,,,,25-44,M,WHITE HISPANIC,1021469,254216,40.864368635000062,-73.865441077999947,POINT (-73.86544107799995 40.86436863500006)
210827321,03/10/2020,02:20:00,BRONX,40,0,,false,25-44,M,BLACK,25-44,M,BLACK,1007956,233989,40.80889802400003,-73.914366989999962,POINT (-73.91436698999996 40.80889802400003)
206909435,01/02/2020,21:12:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK,25-44,M,BLACK,989418,192713,40.695636146000027,-73.981364516999975,POINT (-73.98136451699997 40.69563614600003)
213291457,05/20/2020,02:25:00,MANHATTAN,25,0,,true,25-44,M,BLACK,25-44,M,BLACK,1002329,231921,40.803235241000039,-73.934699265999939,POINT (-73.93469926599994 40.80323524100004)
207572465,01/07/2020,13:30:00,QUEENS,101,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK HISPANIC,1053494,161530,40.60977656700004,-73.750613392999981,POINT (-73.75061339299998 40.60977656700004)
212944540,05/11/2020,17:06:00,STATEN ISLAND,121,0,PVT HOUSE,true,45-64,M,WHITE HISPANIC,25-44,F,BLACK HISPANIC,938373,169290,40.631227890000048,-74.165284271999951,POINT (-74.16528427199995 40.63122789000005)
